OrderID,CusName,ProductList,Quant,PriceItem,OrderDate,TotalAmount,CustomerName,Total Amount,1) Convert the data into table for filtering and sorting the data,,,,,,,,,,
1001,Sneha,TV,2,6154,01 January 2023,12308.0,Sneha,12308.0,,,,,,,,,,,
1002,Vikas,Laptop,2,9499,02 January 2023,18998.0,Vikas,18998.0,Data cleaning------------------------>,,,,,,,,,,
1003,Rahul,Laptop,4,11295,03 January 2023,45180.0,Rahul,45180.0,1) Cleaningthe data by removing blank cells for this home--> find and select--> go to special,,,,,,,,,,
1004,Vikas,Laptop,2,17183,04 January 2023,34366.0,Vikas,34366.0,This data don't have any blank cells,,,,,,,,,,
1005,Vikas,Laptop,3,34299,05 January 2023,102897.0,Vikas,102897.0,2) Remove duplicates-----> Home-->data-->remove duplicates,,,,,,,,,,
1006,Priya,Headphones,1,17874,06 January 2023,17874.0,Priya,17874.0,3) Standardized text format---> For this we have trim function and proper function to getting the customer name,,,,,,,,,,
1007,Rahul,Tablet,4,37711,07 January 2023,150844.0,Rahul,150844.0,4) checking the data type of the each column here I converted the order_date with the long date and total_amount,,,,,,,,,,
1008,Rahul,Tablet,1,10539,08 January 2023,10539.0,Rahul,10539.0,in the number,,,,,,,,,,
1009,Rahul,Laptop,1,47405,09 January 2023,47405.0,Rahul,47405.0,5) We can recalculate the total amount by quantity * price,,,,,,,,,,
1010,Vikas,Tablet,3,7557,10 January 2023,22671.0,Vikas,22671.0,6) Rename column name,,,,,,,,,,
1011,Sneha,Tablet,2,43360,11 January 2023,86720.0,Sneha,86720.0,,,,,,,,,,,
1012,Rahul,Laptop,2,21482,12 January 2023,42964.0,Rahul,42964.0,,,,,,,,,,,
1013,Riya,Tablet,1,7200,13 January 2023,7200.0,Riya,7200.0,,,,,,,,,,,
1014,Vikas,TV,4,7961,14 January 2023,31844.0,Vikas,31844.0,,,,,,,,,,,
1015,Priya,Phone,2,26357,15 January 2023,52714.0,Priya,52714.0,,,,,,,,,,,
1016,Sneha,Phone,4,16969,16 January 2023,67876.0,Sneha,67876.0,,,,,,,,,,,
